DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY
2024-09-01,aFRR,NEG_001,139.15,5,5,DE
2024-09-01,aFRR,NEG_001,139.16,5,5,DE
2024-09-01,aFRR,NEG_001,139.17,5,5,DE
2024-09-01,aFRR,NEG_001,139.18,5,5,DE
2024-09-01,aFRR,NEG_001,139.19,5,5,DE
2024-09-01,aFRR,NEG_001,139.2,5,5,DE
2024-09-01,aFRR,NEG_001,139.21,5,5,DE
2024-09-01,aFRR,NEG_001,139.21,5,5,DE
2024-09-01,aFRR,NEG_001,139.24,5,5,DE
2024-09-01,aFRR,NEG_001,139.24,5,5,DE
2024-09-01,aFRR,NEG_001,139.26,5,5,DE
2024-09-01,aFRR,NEG_001,139.27,5,5,DE
2024-09-01,aFRR,NEG_001,139.27,5,5,DE
2024-09-01,aFRR,NEG_001,139.29,5,5,DE
2024-09-01,aFRR,NEG_001,139.3,5,5,DE
2024-09-01,aFRR,NEG_001,139.3,5,5,DE
2024-09-01,aFRR,NEG_001,139.32,5,5,DE
2024-09-01,aFRR,NEG_001,139.33,5,5,DE
2024-09-01,aFRR,NEG_001,139.34,5,5,DE
2024-09-01,aFRR,NEG_001,139.35,5,5,DE
2024-09-01,aFRR,NEG_001,139.36,5,5,DE
2024-09-01,aFRR,NEG_001,139.37,5,5,DE
2024-09-01,aFRR,NEG_001,139.38,5,5,DE
2024-09-01,aFRR,NEG_001,139.39,5,5,DE
2024-09-01,aFRR,NEG_001,139.41,5,5,DE
2024-09-01,aFRR,NEG_001,139.42,5,5,DE
2024-09-01,aFRR,NEG_001,139.43,5,5,DE
2024-09-01,aFRR,NEG_001,139.44,5,5,DE
2024-09-01,aFRR,NEG_001,139.45,5,5,DE
2024-09-01,aFRR,NEG_001,139.46,5,5,DE
2024-09-01,aFRR,NEG_001,139.46,5,5,DE
2024-09-01,aFRR,NEG_001,139.48,5,5,DE
2024-09-01,aFRR,NEG_001,139.49,5,5,DE
2024-09-01,aFRR,NEG_001,139.49,5,5,DE
2024-09-01,aFRR,NEG_001,139.51,5,5,DE
2024-09-01,aFRR,NEG_001,139.52,3,3,DE
2024-09-01,aFRR,NEG_001,139.62,5,5,DE
2024-09-01,aFRR,NEG_001,139.67,5,5,DE
2024-09-01,aFRR,NEG_001,139.71,5,5,DE
2024-09-01,aFRR,NEG_001,139.72,5,5,DE
2024-09-01,aFRR,NEG_001,139.77,5,5,DE
2024-09-01,aFRR,NEG_001,139.82,5,5,DE
2024-09-01,aFRR,NEG_001,139.87,5,5,DE
2024-09-01,aFRR,NEG_001,139.92,5,5,DE
2024-09-01,aFRR,NEG_001,139.97,5,5,DE
2024-09-01,aFRR,NEG_001,140.02,5,5,DE
2024-09-01,aFRR,NEG_001,140.07,5,5,DE
2024-09-01,aFRR,NEG_001,140.11,5,5,DE
2024-09-01,aFRR,NEG_001,140.16,5,5,DE
2024-09-01,aFRR,NEG_001,140.21,5,5,DE
2024-09-01,aFRR,NEG_001,140.26,5,5,DE
2024-09-01,aFRR,NEG_001,140.27,1,1,DE
2024-09-01,aFRR,NEG_001,140.31,5,5,DE
2024-09-01,aFRR,NEG_001,140.36,5,5,DE
2024-09-01,aFRR,NEG_001,140.4,5,5,DE
2024-09-01,aFRR,NEG_001,140.41,5,5,DE
2024-09-01,aFRR,NEG_001,140.46,5,5,DE
2024-09-01,aFRR,NEG_001,140.49,5,5,DE
2024-09-01,aFRR,NEG_001,140.5,5,5,DE
2024-09-01,aFRR,NEG_001,140.51,5,5,DE
2024-09-01,aFRR,NEG_001,140.51,5,5,DE
2024-09-01,aFRR,NEG_001,140.52,5,5,DE
2024-09-01,aFRR,NEG_001,140.53,5,5,DE
2024-09-01,aFRR,NEG_001,140.54,5,5,DE
2024-09-01,aFRR,NEG_001,140.55,5,5,DE
2024-09-01,aFRR,NEG_001,140.56,5,5,DE
2024-09-01,aFRR,NEG_001,140.56,5,5,DE
2024-09-01,aFRR,NEG_001,140.58,5,5,DE
2024-09-01,aFRR,NEG_001,140.59,5,5,DE
2024-09-01,aFRR,NEG_001,140.59,5,5,DE
2024-09-01,aFRR,NEG_001,140.61,5,5,DE
2024-09-01,aFRR,NEG_001,140.62,5,5,DE
2024-09-01,aFRR,NEG_001,140.62,5,5,DE
2024-09-01,aFRR,NEG_001,140.64,5,5,DE
2024-09-01,aFRR,NEG_001,140.65,5,5,DE
2024-09-01,aFRR,NEG_001,140.65,5,5,DE
2024-09-01,aFRR,NEG_001,140.67,5,5,DE
2024-09-01,aFRR,NEG_001,140.68,5,5,DE
2024-09-01,aFRR,NEG_001,140.68,5,5,DE
2024-09-01,aFRR,NEG_001,140.7,5,5,DE
2024-09-01,aFRR,NEG_001,140.71,5,5,DE
2024-09-01,aFRR,NEG_001,140.72,3,3,DE
2024-09-01,aFRR,NEG_001,149.0,1,1,DE
2024-09-01,aFRR,NEG_001,149.01,5,5,DE
2024-09-01,aFRR,NEG_001,152.5,10,10,DE
2024-09-01,aFRR,NEG_001,195.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,198.0,1,1,DE
2024-09-01,aFRR,NEG_001,199.0,5,5,DE
2024-09-01,aFRR,NEG_001,225.0,1,1,DE
2024-09-01,aFRR,NEG_001,225.0,1,1,DE
2024-09-01,aFRR,NEG_001,230.0,37,37,DE
2024-09-01,aFRR,NEG_001,249.75,1,1,DE
2024-09-01,aFRR,NEG_001,250.0,24,24,DE
2024-09-01,aFRR,NEG_001,250.0,2,2,DE
2024-09-01,aFRR,NEG_001,250.0,5,5,DE
2024-09-01,aFRR,NEG_001,274.5,1,1,DE
2024-09-01,aFRR,NEG_001,275.0,5,5,DE
2024-09-01,aFRR,NEG_001,290.0,1,1,DE
2024-09-01,aFRR,NEG_001,299.25,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,92,92,DE
2024-09-01,aFRR,NEG_001,300.0,4,4,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,300.0,1,1,DE
2024-09-01,aFRR,NEG_001,301.0,1,1,DE
2024-09-01,aFRR,NEG_001,323.12,1,1,DE
2024-09-01,aFRR,NEG_001,324.0,1,1,DE
2024-09-01,aFRR,NEG_001,330.56,1,1,DE
2024-09-01,aFRR,NEG_001,332.0,1,1,DE
2024-09-01,aFRR,NEG_001,340.5,1,1,DE
2024-09-01,aFRR,NEG_001,348.75,1,1,DE
2024-09-01,aFRR,NEG_001,350.0,57,57,DE
2024-09-01,aFRR,NEG_001,363.0,1,1,DE
2024-09-01,aFRR,NEG_001,368.46,5,5,DE
2024-09-01,aFRR,NEG_001,373.5,1,1,DE
2024-09-01,aFRR,NEG_001,380.0,5,5,DE
2024-09-01,aFRR,NEG_001,394.0,1,1,DE
2024-09-01,aFRR,NEG_001,398.25,1,1,DE
2024-09-01,aFRR,NEG_001,399.0,5,5,DE
2024-09-01,aFRR,NEG_001,423.0,1,1,DE
2024-09-01,aFRR,NEG_001,425.0,5,5,DE
2024-09-01,aFRR,NEG_001,425.0,1,1,DE
2024-09-01,aFRR,NEG_001,440.9,5,5,DE
2024-09-01,aFRR,NEG_001,447.27,1,1,DE
2024-09-01,aFRR,NEG_001,447.75,1,1,DE
2024-09-01,aFRR,NEG_001,456.0,1,1,DE
2024-09-01,aFRR,NEG_001,472.5,1,1,DE
2024-09-01,aFRR,NEG_001,489.83,1,1,DE
2024-09-01,aFRR,NEG_001,499.9,1,1,DE
2024-09-01,aFRR,NEG_001,500.0,10,10,DE
2024-09-01,aFRR,NEG_001,500.0,2,2,DE
2024-09-01,aFRR,NEG_001,500.0,2,2,DE
2024-09-01,aFRR,NEG_001,510.0,1,1,DE
2024-09-01,aFRR,NEG_001,513.35,5,5,DE
2024-09-01,aFRR,NEG_001,520.85,1,1,DE
2024-09-01,aFRR,NEG_001,548.62,16,16,DE
2024-09-01,aFRR,NEG_001,585.79,5,5,DE
2024-09-01,aFRR,NEG_001,599.0,5,5,DE
2024-09-01,aFRR,NEG_001,600.0,1,1,DE
2024-09-01,aFRR,NEG_001,624.0,3,3,DE
2024-09-01,aFRR,NEG_001,658.23,5,5,DE
2024-09-01,aFRR,NEG_001,666.0,1,1,DE
2024-09-01,aFRR,NEG_001,666.0,1,1,DE
2024-09-01,aFRR,NEG_001,666.0,1,1,DE
2024-09-01,aFRR,NEG_001,711.14,1,1,DE
2024-09-01,aFRR,NEG_001,730.68,5,5,DE
2024-09-01,aFRR,NEG_001,803.12,5,5,DE
