Datum;von;bis;50Hertz (Negativ)
2024-09-06;18:15;18:30;11,096
2024-09-06;18:30;18:45;14,492
2024-09-06;18:45;19:00;8,928
2024-09-06;19:00;19:15;0,0
2024-09-06;19:15;19:30;0,0
2024-09-06;19:30;19:45;40,32
2024-09-06;19:45;20:00;76,136
2024-09-06;20:00;20:15;82,84
2024-09-06;20:15;20:30;19,696
2024-09-06;20:30;20:45;19,308
2024-09-06;20:45;21:00;47,436
2024-09-06;21:00;21:15;28,904
2024-09-06;21:15;21:30;61,456
2024-09-06;21:30;21:45;122,048
2024-09-06;21:45;22:00;80,532
2024-09-06;22:00;22:15;67,112
2024-09-06;22:15;22:30;54,94
2024-09-06;22:30;22:45;22,224
2024-09-06;22:45;23:00;35,52
2024-09-06;23:00;23:15;15,524
2024-09-06;23:15;23:30;0,0
2024-09-06;23:30;23:45;0,0
2024-09-06;23:45;00:00;11,812
2024-09-07;00:00;00:15;3,268
2024-09-07;00:15;00:30;0,0
2024-09-07;00:30;00:45;0,004
2024-09-07;00:45;01:00;13,188
2024-09-07;01:00;01:15;8,984
2024-09-07;01:15;01:30;27,028
2024-09-07;01:30;01:45;2,928
2024-09-07;01:45;02:00;0,6
2024-09-07;02:00;02:15;0,428
2024-09-07;02:15;02:30;32,524
2024-09-07;02:30;02:45;33,436
2024-09-07;02:45;03:00;8,22
2024-09-07;03:00;03:15;6,492
2024-09-07;03:15;03:30;1,52
2024-09-07;03:30;03:45;21,34
2024-09-07;03:45;04:00;102,348
2024-09-07;04:00;04:15;10,544
2024-09-07;04:15;04:30;6,848
2024-09-07;04:30;04:45;20,108
2024-09-07;04:45;05:00;2,484
2024-09-07;05:00;05:15;0,236
2024-09-07;05:15;05:30;0,7
2024-09-07;05:30;05:45;0,0
2024-09-07;05:45;06:00;2,26
2024-09-07;06:00;06:15;6,924
2024-09-07;06:15;06:30;0,0
2024-09-07;06:30;06:45;8,484
2024-09-07;06:45;07:00;77,708
2024-09-07;07:00;07:15;49,44
2024-09-07;07:15;07:30;17,212
2024-09-07;07:30;07:45;32,444
2024-09-07;07:45;08:00;91,568
2024-09-07;08:00;08:15;26,62
2024-09-07;08:15;08:30;48,784
2024-09-07;08:30;08:45;24,584
2024-09-07;08:45;09:00;1,792
2024-09-07;09:00;09:15;0,0
2024-09-07;09:15;09:30;0,0
2024-09-07;09:30;09:45;0,612
2024-09-07;09:45;10:00;3,812
2024-09-07;10:00;10:15;21,076
2024-09-07;10:15;10:30;28,06
2024-09-07;10:30;10:45;20,428
2024-09-07;10:45;11:00;73,616
2024-09-07;11:00;11:15;22,172
2024-09-07;11:15;11:30;21,488
2024-09-07;11:30;11:45;7,664
2024-09-07;11:45;12:00;3,228
2024-09-07;12:00;12:15;20,42
